id,peso,beneficio
1,999999,999999
16,1000,2000
17,2000,1999
18,1500,3000
19,3000,2999
20,750,1500
21,1500,1499
9998,1,100
9999,2,199
10000,3,297
2,500000,600000
3,250000,300000
4,125000,150000
5,62500,75000
6,31250,37500
7,15625,18750
8,7812,9374
9,3906,4687
10,1953,2343
11,976,1171
12,488,585
13,244,292
14,122,146
15,61,73
5000,100,10000
5001,99,9999
5002,98,9998
22,39,58
23,269,402
24,235,351
25,402,601
26,205,306
27,396,592
28,16,23
29,265,396
30,247,369
31,90,134
32,146,218
33,287,429
34,475,710
35,17,25
36,402,601
37,490,733
38,394,589
39,138,206
40,281,420
41,107,160
42,268,400
43,94,140
44,380,568
45,16,23
46,14,20
47,307,459
48,403,602
49,117,174
50,342,511
51,370,553
52,36,53
53,476,711
54,297,443
55,338,505
56,234,349
57,118,176
58,462,690
59,52,77
60,394,588
61,124,185
62,452,675
63,114,170
64,254,379
65,319,476
66,75,112
67,69,103
68,52,77
69,373,556
70,46,68
71,458,683
72,420,626
73,205,306
74,404,603
75,172,256
76,113,168
77,102,152
78,488,728
79,204,304
80,165,246
81,126,187
82,291,434
83,163,243
84,350,522
85,36,53
86,449,669
87,205,305
88,95,141
89,321,478
90,295,439
91,191,284
92,154,229
93,388,578
94,354,527
95,461,687
96,336,500
97,27,40
98,236,351
99,29,43
100,181,269
101,401,597
102,210,312
103,439,653
104,188,280
105,195,290
106,438,652
107,218,324
108,36,53
109,113,168
110,456,678
111,480,714
112,401,597
113,61,90
114,182,270
115,132,196
116,239,355
117,286,425
118,109,162
119,300,446
120,391,581
121,387,575
122,205,304
123,220,327
124,442,657
125,201,298
126,332,493
127,200,297
128,104,154
129,247,367
130,115,171
131,435,646
132,293,435
133,148,220
134,89,132
135,17,25
136,190,282
137,469,697
138,242,359
139,283,420
140,476,707
141,215,319
142,337,500
143,421,625
144,125,185
145,344,511
146,353,524
147,126,187
148,334,496
149,492,730
150,342,507
151,298,442
152,122,181
153,10,14
154,316,469
155,377,559
156,171,253
157,418,620
158,320,474
159,444,658
160,493,731
161,341,506
162,304,451
163,223,330
164,51,75
165,174,258
166,255,378
167,141,209
168,309,458
169,308,456
170,166,246
171,341,505
172,487,722
173,63,93
174,94,139
175,343,508
176,19,28
177,393,582
178,303,449
179,185,274
180,278,411
181,153,226
182,431,638
183,297,440
184,100,148
185,190,281
186,202,299
187,176,260
188,418,619
189,96,142
190,78,115
191,351,519
192,172,254
193,189,279
194,378,559
195,257,380
196,180,266
197,194,287
198,402,595
199,463,685
200,56,82
201,414,612
202,474,701
203,469,693
204,389,575
205,340,503
206,260,384
207,133,196
208,379,560
209,228,337
210,290,428
211,277,409
212,445,658
213,150,221
214,300,443
215,34,50
216,100,147
217,372,549
218,85,125
219,413,610
220,287,424
221,132,195
222,32,47
223,135,199
224,222,328
225,334,493
226,116,171
